,-9.6493,-14.9741,0.0002,-15
1770662203,-9.8259,9.7709,0.0001,10
1770662204,-9.8193,8.8239,0.0029,10
1770662204,-9.7605,10.141,0.0011,10
1770662205,-9.7735,10.099,0.0064,10
1770662206,-9.7539,9.6194,0.0002,10
1770662206,-9.7866,9.5029,0.0017,10
1770662207,-9.7081,0.2387,0.0008,0
1770662208,9.7274,2.3887,0.0031,0
1770662209,9.5116,-4.5702,0.0018,-5
1770662209,9.6816,-4.6676,0,-5
1770662210,9.7143,-0.1303,0.0008,0
1770662211,9.7208,-0.2049,0.0009,0
1770662212,9.747,10.4962,0,10
1770662212,0.1208,10.103,0.0007,10
1770662213,0.0162,9.3826,0.0012,10
1770662214,-0.5528,9.9661,0.0003,10
1770662215,-0.7228,9.9899,0.0001,10
1770662215,-0.7947,10.8546,0.0056,10
1770662216,-3.2863,10.0008,0.0017,10
1770662217,-9.7081,8.4889,0.001,10
1770662218,-9.682,0.5209,0.0003,0
1770662218,9.7928,2.5887,0.0022,0
1770662219,9.7078,-4.8548,0.0006,-5
1770662220,9.7405,-4.7546,0.0004,-5
1770662221,9.7208,-5.3682,0.0005,-5
1770662222,9.7143,-5.5797,0.0001,-5
1770662222,9.7143,-4.92,0.0004,-5
1770662223,9.7405,-5.3167,0.0002,-5
1770662224,9.7535,-5.1468,0.0005,-5
1770662224,9.7339,2.4572,0.0016,0
1770662225,9.7339,0.1465,0.0004,0
1770662226,9.7535,9.9341,0.001,10
1770662227,-0.0819,9.6069,0.0006,10
1770662228,0.0619,9.9429,0.0013,10
1770662228,0.1273,10.1985,0.0008,10
1770662229,0.16,10.2608,0.0009,10
1770662230,0.3366,10.5901,0.0003,10
1770662231,0.3497,9.9734,0.0004,10
1770662231,0.2712,9.7921,0,10
1770662232,0.2974,10.1682,0.0004,0
1770662233,9.832,-0.0178,0.0082,0
1770662233,9.7274,0.1107,0.0002,-5
1770662234,9.7405,-4.8243,0.0003,-5
1770662235,9.7208,-4.8647,0.0008,-5
1770662236,9.7535,-5.4615,0,-5
1770662236,9.7143,-5.6074,0.0011,-5
1770662237,9.7405,-5.136,0.0003,-5
1770662238,9.7208,-4.9824,0.0004,-5
1770662239,9.7143,-4.9361,0.0008,-5
1770662239,9.7339,-5.1376,0.0002,-5
1770662240,9.7339,-5.3039,0.0008,-5
1770662241,9.7143,-5.1054,0.0003,-5
1770662242,9.7143,-4.9484,0.0026,-5
1770662242,9.6881,-4.9562,0.0007,8
1770662243,9.8059,7.8607,0.0006,8
1770662244,9.7666,8.0342,0.0003,8
1770662244,9.7732,8.0409,0,8
1770662245,9.7666,8.0238,0.0001,8
1770662246,9.7993,8.0178,0.0002,8
1770662247,9.7535,7.9336,0.0001,8
1770662247,9.7797,8.0222,0.0004,8
1770662248,9.7732,8.0206,0.0001,8
