,-9.6493,-14.9741,0.0002,-15
1770661844,9.7732,7.9085,0.0003,8
1770661845,9.7666,8.0838,0.0001,8
1770661846,9.7862,8.0335,0,8
1770661847,9.7928,7.9138,0.0002,8
1770661847,9.7732,8.072,0.0001,8
1770661848,9.7862,7.9903,0.0001,8
1770661849,9.8255,8.0031,0.0002,8
1770661850,9.7993,7.9497,0.0002,8
1770661850,9.7797,8.0828,0.0003,8
1770661851,9.7666,7.9034,0.0001,8
1770661852,9.7862,7.8988,0.0001,8
1770661853,9.8124,8.031,0.0002,8
1770661853,9.7862,8.0027,0,8
1770661854,9.7666,7.9569,0,8
1770661855,9.7928,7.9686,0.0001,8
1770661856,9.7601,8.0791,0.0002,8
1770661856,9.7666,7.9089,0.0001,8
1770661857,9.7601,8.0055,0.0001,8
1770661858,9.7666,7.9709,0.0001,8
1770661859,9.7732,8.08,0.0003,8
1770661859,9.7666,8.1407,0.0001,8
1770661860,9.7601,9.07,0.0027,8
1770661861,9.7666,5.4524,0.0147,8
1770661862,7.7786,-5.3671,0.0246,-5
1770661862,9.3742,-4.2754,0.0079,-5
1770661863,9.7274,-4.8431,0.0002,-5
1770661864,9.7666,-4.7926,0.0006,-5
1770661864,9.7666,-4.868,0.0023,-5
1770661865,9.747,-5.2365,0.0005,-5
1770661866,9.7535,-5.3071,0.0009,-5
1770661867,9.7208,-5.4498,0.0003,-5
1770661867,9.7208,-4.5824,0.0009,-5
1770661868,9.7339,-4.8372,0.0015,-5
1770661869,9.7208,-5.1263,0.0002,-5
1770661870,9.7339,-4.9147,0.0004,-5
1770661871,9.7208,-5.1781,0.0012,-5
1770661871,9.7143,-5.195,0.0015,-5
1770661872,9.747,-5.2371,0.0006,-5
1770661873,9.7012,-4.7006,0.0002,-5
1770661873,9.7208,0.2501,0.0001,0
1770661874,9.7274,0.2651,0.0005,0
1770661875,9.7535,13.8975,0.0033,10
1770661876,-1.1348,10.2218,0.0013,10
1770661876,-0.9582,10.2068,0.0004,10
1770661877,-0.7751,9.3627,0.0008,10
1770661878,-0.6443,9.9645,0.0015,10
1770661879,-0.762,9.5513,0.0007,10
1770661879,-1.0171,9.2731,0.0002,10
1770661880,-0.8536,9.5953,0.0006,10
1770661881,-0.5986,10.328,0.0003,10
1770661882,-0.6836,10.6071,0.0007,10
1770661882,-0.5266,10.6236,0.0008,10
1770661883,-0.5986,10.3935,0.001,0
1770661884,9.7208,0.9902,0.0032,0
1770661885,9.7274,0.3187,0.0157,-5
1770661885,9.7012,-4.7112,0.0008,-5
1770661886,9.7208,-5.0496,0.0001,-5
1770661887,9.7405,-4.6224,0.0013,-5
1770661888,9.7535,1.6123,0.0004,0
1770661888,9.7666,0.126,0.0003,0
1770661889,9.7535,0.2338,0.0032,10
1770661890,-2.1746,9.2743,0.0013,10
1770661890,-2.6193,10.292,0.0013,10
1770661891,-2.083,10.1916,0.0021,10
1770661892,-2.2007,9.722,0.0017,10
1770661893,-3.0247,10.73,0.0005,10
1770661893,-2.822,10.3004,0.0054,10
1770661894,-1.8215,9.8208,0.0034,10
1770661895,-1.6383,10.3412,0.0038,10
1770661896,-2.4754,9.7818,0.0015,10
1770661896,-2.3708,9.3886,0.0017,10
1770661897,-1.9784,9.9375,0.0002,10
1770661898,-2.2596,11.354,0.0049,10
1770661899,-2.0373,9.8078,0.0004,10
1770661899,-2.0242,9.6664,0.0006,10
1770661900,-1.0759,9.988,0.0005,10
1770661901,-1.089,9.4925,0.0003,10
1770661901,-1.4552,9.9512,0.0004,10
1770661902,-1.4945,9.8468,0.0043,10
1770661903,-1.3702,9.5049,0.0011,10
1770661904,-1.7561,9.8581,0.0012,10
1770661904,-1.8476,9.2845,0.0065,10
1770661905,-1.1544,10.0267,0.0001,10
1770661906,-1.2721,9.6864,0.0004,10
1770661907,-0.9582,9.8555,0.0003,10
1770661907,-0.7947,10.2121,0,10
1770661908,-0.4874,9.6981,0.0032,10
1770661909,-0.5266,10.7243,0.0025,10
1770661910,-0.8863,9.214,0.0009,10
1770661910,-0.8471,9.5361,0.0023,10
