
TIMELINE

Cmd Force   State       Start Time          End Time            Duration (s)
--------------------------------------------------------------------------------
8.0         Rest        18:45:41            18:45:43            2.0
-15.0       Scanning    18:45:43            18:46:25            42.0
8.0         Rest        18:46:25            18:46:54            29.0
-5.0        P2P Motion  18:46:54            18:46:57            3.0
0.0         Unknown     18:46:57            18:46:59            2.0
30.0        PCT         18:46:59            18:47:10            11.0
0.0         Unknown     18:47:10            18:47:12            2.0
-5.0        P2P Motion  18:47:12            18:47:15            3.0
0.0         Unknown     18:47:15            18:47:17            2.0
30.0        PCT         18:47:17            18:48:11            54.0
0.0         Unknown     18:48:11            18:48:13            2.0
-5.0        P2P Motion  18:48:13            18:48:23            10.0
0.0         Unknown     18:48:23            18:48:25            2.0
30.0        PCT         18:48:25            18:52:21            236.0
0.0         Unknown     18:52:21            18:52:23            2.0
-5.0        P2P Motion  18:52:23            18:52:26            3.0
0.0         Unknown     18:52:26            18:52:28            2.0
30.0        PCT         18:52:28            18:53:23            55.0
0.0         Unknown     18:53:23            18:53:24            1.0
-5.0        P2P Motion  18:53:24            18:53:29            5.0
0.0         Unknown     18:53:29            18:53:31            2.0
30.0        PCT         18:53:31            18:54:20            49.0
0.0         Unknown     18:54:20            18:54:21            1.0
-5.0        P2P Motion  18:54:21            18:54:26            5.0
0.0         Unknown     18:54:26            18:54:27            1.0
30.0        PCT         18:54:27            18:54:35            8.0
0.0         Unknown     18:54:35            18:54:37            2.0
-5.0        P2P Motion  18:54:37            18:54:37            0.0
0.0         Unknown     18:54:37            18:54:39            2.0
30.0        PCT         18:54:39            18:55:10            31.0
0.0         Unknown     18:55:10            18:55:11            1.0
-5.0        P2P Motion  18:55:11            18:55:18            7.0
0.0         Unknown     18:55:18            18:55:20            2.0
30.0        PCT         18:55:20            18:55:31            11.0
0.0         Unknown     18:55:31            18:55:33            2.0
-5.0        P2P Motion  18:55:33            18:55:44            11.0
8.0         Rest        18:55:44            -                   4.0
